Location,Pool ID,Type,Sample Type,Date,Date Classification,Specific Date Classification,Order,Family,Genus,Species,Code,Notes, , , , , , , , , , , , , , , , , , 
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Daphniidae,Daphnia,Pulex,DAPU,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Chydoridae,Alona,,ALU1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Daphniidae,Ceriodaphnia,,CEU1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Bosminidae,,,BOU1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Macrothricidae,Echinisca,,ECU1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Daphniidae,Simocephalus,Vetulus,SIVE,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,3-May-19,LATE,LATE 2,Cladocera,Daphniidae,Daphnia,Ambigua,DAAM,,,,,,,,,,,,,,,,,,,
Manzanita,Santa Rosa,Created,CORE,2-May-19,LATE,LATE 2,Cladocera,Daphniidae,Ceriodaphnia,,CEU2,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,1-May-19,LATE,LATE 2,Cladocera,Daphniidae,Ceriodaphnia,,CEU3,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,1-May-19,LATE,LATE 2,Cladocera,Daphniidae,Daphnia,,DAU1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,1-May-19,LATE,LATE 2,Cladocera,Daphniidae,Daphnia,Pulex,DAPU,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,1-May-19,LATE,LATE 2,Cladocera,Daphniidae,Ceriodaphnia,,CEU4,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,1-May-19,LATE,LATE 2,Cladocera,Chydoridae,Alona,,ALU2,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,1-May-19,LATE,LATE 2,Cladocera,Daphniidae,Daphnia,Pulex,DAPU,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,17-Apr-19,LATE,LATE 2,Cladocera,Daphniidae,Ceriodaphnia,,CEU5,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,17-Apr-19,LATE,LATE 2,Cladocera,Daphniidae,Daphnia,,DAU2,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,17-Apr-19,LATE,LATE 2,Cladocera,Macrothricidae,,,MAU1,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,17-Apr-19,LATE,LATE 2,Cladocera,Chydoridae,,,CHU1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,8-Apr-19,LATE,LATE 1,Cladocera,Macrothricidae,Echinisca,,ECU1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,8-Apr-19,LATE,LATE 1,Cladocera,Daphniidae,Daphnia,,DAU3,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,8-Apr-19,LATE,LATE 1,Cladocera,Chydoridae,,,CHU2,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,8-Apr-19,LATE,LATE 1,Cladocera,Daphniidae,Ceriodaphnia,,CEU6,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,8-Apr-19,LATE,LATE 1,Cladocera,Daphniidae,Simocephalus,Vetulus,SIVE,,,,,,,,,,,,,,,,,,,
del_sol,N,Enhanced/Natural,FB250,27-Jan-19,EARLY,EARLY 1,Cladocera,Moinidae,Moina,,MOU1,,,,,,,,,,,,,,,,,,,
